id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
67,無名首爾小吃,4.4,台北市南陽街20號,https://ifoodie.tw/restaurant/5ed5edf58c906d4ff718fe52-%E7%84%A1%E5%90%8D%E9%A6%96%E7%88%BE%E5%B0%8F%E5%90%83
68,肉球森林,4.7,臺北市中正區新生南路一段160巷22之1號1樓,https://ifoodie.tw/restaurant/5e797fd722613940414260eb-%E8%82%89%E7%90%83%E6%A3%AE%E6%9E%97
69,初牛 公館店,4.3,台北市汀州路3段169號,https://ifoodie.tw/restaurant/58fba01bf524687c7554cfa2-%E5%88%9D%E7%89%9B-%E5%85%AC%E9%A4%A8%E5%BA%97
70,忠青商行,4.3,臺北市中正區青島東路6之1號青島會館二館,https://ifoodie.tw/restaurant/5e844e4a2261392093b21823-%E5%BF%A0%E9%9D%92%E5%95%86%E8%A1%8C
71,胡饕米粉湯•黑白切 台大公館店,4.2,臺北市中正區羅斯福路三段284巷8號1樓,https://ifoodie.tw/restaurant/5db68bb88c906d03788b38cd-%E8%83%A1%E9%A5%95%E7%B1%B3%E7%B2%89%E6%B9%AF%E2%80%A2%E9%BB%91%E7%99%BD%E5%88%87-%E5%8F%B0%E5%A4%A7%E5%85%AC%E9%A4%A8%E5%BA%97
72,bb.q CHICKEN公館店,4.5,臺北市中正區汀州路三段153號,https://ifoodie.tw/restaurant/631c5183828287036a62e8c8-bb.q-CHICKEN%E5%85%AC%E9%A4%A8%E5%BA%97
73,雙月食品社 濟南店,4.8,臺北市中正區濟南路一段7號1樓,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97
74,Take out burger,4.3,臺北市中正區新生南路一段56巷6號,https://ifoodie.tw/restaurant/59ea3b572756dd291ec5d59e-Take-out-burger
75,客美多咖啡 Komeda‘s Coffee 台北站前店,4.1,臺北市中正區忠孝西路一段36號1樓,https://ifoodie.tw/restaurant/614b2f367cc7fc6858b14aa9-%E5%AE%A2%E7%BE%8E%E5%A4%9A%E5%92%96%E5%95%A1-Komeda%E2%80%98s-Coffe
76,魔法咖哩Magic Curry,4.1,臺北市中正區忠孝西路一段38號B1,https://ifoodie.tw/restaurant/5654345b2756dd1f85c55094-%E9%AD%94%E6%B3%95%E5%92%96%E5%93%A9Magic-Curry
77,何家甜品鋪-剉冰雪花冰(公館汀州),4.4,臺北市中正區汀州路三段124號1樓,https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E)
78,大戶屋 微風北車店,4.1,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/559d705ac03a103ee86c76e1-%E5%A4%A7%E6%88%B6%E5%B1%8B-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
79,生活在他方 elsewhere cafe,4.5,臺北市中正區重慶南路三段5號,https://ifoodie.tw/restaurant/56140e142756dd484e29c970-%E7%94%9F%E6%B4%BB%E5%9C%A8%E4%BB%96%E6%96%B9-elsewhere-cafe
80,老王記牛肉麵,3.8,臺北市中正區桃源街15號,https://ifoodie.tw/restaurant/559d11adc03a103ee86c39eb-%E8%80%81%E7%8E%8B%E8%A8%98%E7%89%9B%E8%82%89%E9%BA%B5
81,樺林乾麵,4.6,臺北市中正區中華路一段91巷15號,https://ifoodie.tw/restaurant/559db551c03a103ee86c9df3-%E6%A8%BA%E6%9E%97%E4%B9%BE%E9%BA%B5
82,ALL DAY ROASTING COMPANY 師大店,4.6,臺北市中正區師大路177號,https://ifoodie.tw/restaurant/6315bd67cd99575bba202d13-ALL-DAY-ROASTING-COM
83,菠蘿麵包 ぼろパン BOLO PAN 公館店,4.0,臺北市中正區羅斯福路四段80號,https://ifoodie.tw/restaurant/6319ede67cc7fc29b3d41d1c-%E8%8F%A0%E8%98%BF%E9%BA%B5%E5%8C%85-%E3%81%BC%E3%82%8D%E3%83%91%E3%83%B3-BOLO-PAN-%E5%85%AC
84,阜杭豆漿,4.0,臺北市中正區忠孝東路一段108號2樓,https://ifoodie.tw/restaurant/559dbd8ec03a103ee86ca34f-%E9%98%9C%E6%9D%AD%E8%B1%86%E6%BC%BF
85,蘭苑私廚 Orchid Court,4.2,臺北市中正區金華街30巷1號,https://ifoodie.tw/restaurant/5d52d0dd22613965237f6142-%E8%98%AD%E8%8B%91%E7%A7%81%E5%BB%9A-Orchid-Court
86,大杵臼 ส้มตําครกยักษ์,4.6,臺北市中正區思源街1號『公館水岸廣場』,https://ifoodie.tw/restaurant/6315f9687cc7fc70961e6be6-%E5%A4%A7%E6%9D%B5%E8%87%BC-%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B9%8D%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%81%E0%B8%A2%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C
87,同心大腸蚵仔麵線,4.3,臺北市中正區同安街16號,https://ifoodie.tw/restaurant/56019a012756dd161830ba82-%E5%90%8C%E5%BF%83%E5%A4%A7%E8%85%B8%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A
88,無名鹹粥,4.0,臺北市中正區汀州路一段90號,https://ifoodie.tw/restaurant/559da0f7c03a103ee86c9281-%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5
89,楊記潤餅,4.3,台北市中正區羅斯福路四段108巷2號,https://ifoodie.tw/restaurant/6322d00dcd9957666e62d112-%E6%A5%8A%E8%A8%98%E6%BD%A4%E9%A4%85
90,龍記搶鍋麵,4.0,臺北市中正區衡陽路84巷5號,https://ifoodie.tw/restaurant/559d3e28c03a103ee86c5635-%E9%BE%8D%E8%A8%98%E6%90%B6%E9%8D%8B%E9%BA%B5
91,上村牧場 微風北車店,3.8,臺北市中正區北平西路3號2樓,https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97
92,石研室 石頭火鍋 和億北車店,4.3,臺北市中正區忠孝西路一段36號和億北車站B1F,https://ifoodie.tw/restaurant/5a7ab42d2756dd7bff171eec-%E7%9F%B3%E7%A0%94%E5%AE%A4-%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B-%E5%92%8C%E5%84%84%E5%8C%97%E8%BB%8A%E5%BA%97
