address,distance,latitude_longitude
臺北市中正區南海路17號,"正門:1548公尺,後門:1590公尺,側門:1648公尺","25.0321619,121.5146947"
臺北市中正區桃源街19號,"正門:1518公尺,後門:1449公尺,側門:1574公尺","25.0415572,121.5105702"
臺北市中正區市民大道100號,"正門:1375公尺,後門:1240公尺,側門:1371公尺","25.0487071,121.5142185"
臺北市中正區忠孝西路一段70號1樓,"正門:1241公尺,後門:1118公尺,側門:1252公尺","25.0466999,121.514495"
臺北市中正區忠孝東路一段12號2樓,"正門:436公尺,後門:293公尺,側門:423公尺","25.0445802,121.5224401"
臺北市中正區北平西路3號2樓,"正門:1084公尺,後門:946公尺,側門:1075公尺","25.0477467,121.5169983"
臺北市中正區牯嶺街95巷51號,"正門:1873公尺,後門:1978公尺,側門:1975公尺","25.0257857,121.5203749"
臺北市中正區羅斯福路三段286巷4弄1號,"正門:2967公尺,後門:3110公尺,側門:3046公尺","25.0159256,121.532056"
臺北市中正區忠孝東路一段12號17樓,"正門:436公尺,後門:293公尺,側門:423公尺","25.0445802,121.5224401"
臺北市中正區羅斯福路二段30巷9號,"正門:1609公尺,後門:1712公尺,側門:1711公尺","25.0281384,121.5208586"
臺北市中正區青島東路5號,"正門:431公尺,後門:301公尺,側門:436公尺","25.044071,121.5220537"
臺北市中正區汀州路三段127號,"正門:2888公尺,後門:3029公尺,側門:2969公尺","25.0163858,121.530596"
臺北市中正區中華路二段313巷5弄20之1號,"正門:2486公尺,後門:2507公尺,側門:2582公尺","25.0282771,121.5061166"
臺北市中正區忠孝東路一段12號,"正門:436公尺,後門:293公尺,側門:423公尺","25.0445802,121.5224401"
臺北市中正區牯嶺街61之5號,"正門:1653公尺,後門:1728公尺,側門:1757公尺","25.0292041,121.5171752"
臺北市中正區仁愛路二段108號,"正門:817公尺,後門:955公尺,側門:831公尺","25.0379274,121.5324046"
臺北市中正區忠孝西路一段36號B1,"正門:986公尺,後門:860公尺,側門:994公尺","25.0460142,121.516942"
臺北市中正區濟南路一段2之1號,"正門:597公尺,後門:508公尺,側門:637公尺","25.0429232,121.5198047"
臺北市中正區汀州路二段238號,"正門:2247公尺,後門:2373公尺,側門:2342公尺","25.0217729,121.5244071"
中正區南陽街13-2號,"正門:1012公尺,後門:899公尺,側門:1034公尺","25.045004,121.5161754"
臺北市中正區林森南路59之2號,"正門:410公尺,後門:441公尺,側門:504公尺","25.0399269,121.5222094"
臺北市中正區忠孝西路一段47號B1樓,"正門:970公尺,後門:838公尺,側門:971公尺","25.0465183,121.5174415"
臺北市中正區汀州路三段127號1樓,"正門:2888公尺,後門:3029公尺,側門:2969公尺","25.0163858,121.530596"
臺北市中正區忠孝東路一段12號B1,"正門:479公尺,後門:339公尺,側門:470公尺","25.0447021,121.5219894"
臺北市中正區杭州南路一段27號,"正門:79公尺,後門:199公尺,側門:88公尺","25.0420021,121.5264035"
臺北市中正區中華路二段309巷15號,"正門:2467公尺,後門:2483公尺,側門:2562公尺","25.0289474,121.5057989"
臺北市中正區南昌路二段7之2號,"正門:1626公尺,後門:1720公尺,側門:1730公尺","25.028439,121.519429"
臺北市中正區許昌街26之3號,"正門:1009公尺,後門:891公尺,側門:1025公尺","25.0454432,121.5163986"
臺北市中正區延平南路22號,"正門:1588公尺,後門:1473公尺,側門:1607公尺","25.0468864,121.5108506"
臺北市中正區三元街38號,"正門:2202公尺,後門:2223公尺,側門:2298公尺","25.0299194,121.5082761"
臺北市中正區羅斯福路3段286巷4弄14號,"正門:2976公尺,後門:3119公尺,側門:3055公尺","25.0157941,121.5318107"
臺北市中正區中華路二段309巷35號南機場夜市,"正門:2444公尺,後門:2459公尺,側門:2538公尺","25.0291603,121.5059145"
臺北市中正區汀州路三段167號,"正門:3045公尺,後門:3188公尺,側門:3123公尺","25.0152642,121.5323292"
臺北市中正區汀州路三段135號,"正門:2921公尺,後門:3063公尺,側門:3002公尺","25.0161423,121.5309657"
臺北市中正區羅斯福路四段92號79攤,"正門:3300公尺,後門:3447公尺,側門:3374公尺","25.0135188,121.534971"
臺北市中正區中華路二段327號一樓,"正門:2500公尺,後門:2526公尺,側門:2598公尺","25.027681,121.5064552"
臺北市中正區羅斯福路四段92號水源市場一樓100號,"正門:3280公尺,後門:3427公尺,側門:3354公尺","25.01371,121.534983"
臺北市中正區同安街63之2號,"正門:2037公尺,後門:2151公尺,側門:2137公尺","25.0239797,121.5216868"
臺北市中正區羅斯福路二段14號,"正門:1552公尺,後門:1655公尺,側門:1655公尺","25.0286513,121.52092"
臺北市中正區汀州路二段96號1樓,"正門:1998公尺,後門:2099公尺,側門:2101公尺","25.0248971,121.5193665"
臺北市中正區中華路二段315巷4弄南機場夜市,"正門:2444公尺,後門:2459公尺,側門:2538公尺","25.0291603,121.5059145"
臺北市中正區汀州路二段81號1F,"正門:2007公尺,後門:2095公尺,側門:2111公尺","25.0255769,121.517245"
臺北市中正區臨沂街27巷9號1樓,"正門:579公尺,後門:689公尺,側門:555公尺","25.0409661,121.5312619"
臺北市中正區羅斯福路二段66巷8號1樓,"正門:1671公尺,後門:1779公尺,側門:1773公尺","25.0274397,121.5212824"
臺北市中正區公園路20巷12號,"正門:976公尺,後門:862公尺,側門:996公尺","25.04507,121.5165803"
臺北市中正區館前路6號2樓,"正門:1184公尺,後門:1065公尺,側門:1199公尺","25.0460957,121.5148151"
臺北市中正區中華路二段311巷,"正門:2444公尺,後門:2463公尺,側門:2539公尺","25.0287032,121.5062855"
臺北市中正區牯嶺街43號,"正門:1610公尺,後門:1678公尺,側門:1714公尺","25.0299998,121.5166002"
臺北市中正區三元街262號,"正門:2018公尺,後門:2080公尺,側門:2121公尺","25.0273075,121.5137972"
臺北市中正區忠孝東路一段12號,"正門:436公尺,後門:293公尺,側門:423公尺","25.0445802,121.5224401"
臺北市中正區臨沂街27巷4之1號,"正門:554公尺,後門:667公尺,側門:534公尺","25.0408636,121.5309843"
