store_name,address,Latitude,Longitude
茗捷印尼餐廳,臺北市中正區市民大道100號臺北地下街Y26,25.0495017,121.5136386
劉記川味牛肉麵,臺北市中正區羅斯福路三段316巷8弄6號,25.0154945,121.5325315
Half coffee,臺北市中正區羅斯福路三段286巷4弄4號1樓,25.015986,121.532084
三統漢菓子 微風北車店,臺北市中正區北平西路3號臺北車站1樓微風廣場一樓近南二門,25.0480075,121.5170613
灌老闆,臺北市中正區紹興北街25號,25.0451167,121.5254276
大黑松小倆口牛軋糖喜餅 博愛總店,臺北市中正區博愛路99號,25.043002,121.511644
寧波生煎包,臺北市中正區羅斯福路一段59號,25.0318815,121.5192094
蛋要酷 手工蛋餅專賣店,臺北市中正區信陽街26之4號,25.0444759,121.5154778
達文西咖啡davincicoffee 溫州店,臺北市大安區溫州街58巷2號1F,25.0206295,121.5329435
水牛城美式炭烤牛排,臺北市中正區杭州南路二段94號,25.0292197,121.5217929
雪王冰淇淋,臺北市中正區武昌街一段65號2樓,25.044236,121.510398
大戶屋 遠百寶慶店,臺北市中正區寶慶路32號B1,25.0416016,121.5090412
秋嗨嗨冰店,臺北市中正區羅斯福路二段30巷11號,25.0280987,121.5208773
鷹流拉麵極匠,臺北市中正區汀州路三段104巷4號,25.014119,121.533136
江蘇老宜記燒餅舖,臺北市中正區南昌路一段59巷14號,25.03162,121.51802
成都抄手麵食 China Dumpling Noodle,臺北市中正區重慶南路一段46巷3號,25.0445452,121.5127596
Paper St. Coffee 紙街咖啡,臺北市中正區八德路一段28號,25.0435567,121.530308
合歡刀削麵館,臺北市大安區杭州南路二段55號2樓,25.0325548,121.522821
防空洞｜補給站-健康餐盒（林森南店）,臺北市中正區林森南路3巷1號,25.0443362,121.5236282
小飯館兒,臺北市中正區汀洲路三段202號,25.0122075,121.5354191
古早味麵店,台北市中正區汀州路一段210號,25.0278367,121.5095073
彌生軒 YAYOI 懷寧店,臺北市中正區懷寧街21號2樓,25.0452966,121.5143127
白糖粿,臺北市中正區羅斯福路四段108巷4之2號,25.013182,121.5352561
黑洞珈琲店,臺北市中正區羅斯福路三段210巷8弄7號,25.0182028,121.5295737
咖食堂,臺北市中正區八德路一段82巷9弄13號,25.0435921,121.5314457
良品牛肉麵館,臺北市中正區開封街一段10號,25.0458232,121.5142984
王功鮮蚵之家,臺北市中正區中華路二段305巷15之1號,25.0294273,121.505472
新驛旅店西門捷運店,臺北市中正區寶慶路63號,25.0418882,121.5092913
塩琉,臺北市中正區重慶南路一段116號,25.041916,121.513028
